layer,proposal_key,caf_no,sw_no,state,district,category,status,status_field,date,date_field,dos,granted_date,project_area,sensitivity_type,sensitivity_name,relation
ec_proposals,IA/GJ/INFRA1/438395/2023,CAF/134659/2023,SW/138088/2023,GUJARAT,JAMNAGAR,"Ports, harbors, breakwaters, dredging",ToR Granted,proposal_status,2023-07-28T17:20:19.121,dos,2023-07-28T17:20:19.121,2024-06-25T18:45:39.81,,ESZ (gazette notified),Marine National Park,partial
ec_proposals,IA/GJ/INFRA1/438395/2023,CAF/134659/2023,SW/138088/2023,GUJARAT,JAMNAGAR,"Ports, harbors, breakwaters, dredging",ToR Granted,proposal_status,2023-07-28T17:20:19.121,dos,2023-07-28T17:20:19.121,2024-06-25T18:45:39.81,,National Park,Marine,mostly_inside
ec_proposals,IA/GJ/INFRA1/438395/2023,CAF/134659/2023,SW/138088/2023,GUJARAT,JAMNAGAR,"Ports, harbors, breakwaters, dredging",ToR Granted,proposal_status,2023-07-28T17:20:19.121,dos,2023-07-28T17:20:19.121,2024-06-25T18:45:39.81,,Wildlife Corridor,Marine,mostly_inside
ec_proposals,SIA/UK/INFRA2/530661/2025,CAF/225928/2025,SW/241078/2025,UTTARAKHAND,DEHRADUN,Building / Construction ,EC Granted,proposal_status,2025-03-21T16:37:31.712,dos,2025-03-21T16:37:31.712,2025-04-21T15:07:27.562,,Eco-Sensitive Area,Doon Valley,within
ec_proposals,SIA/KL/MIN/458118/2024,CAF/153166/2024,SW/168158/2024,KERALA,PALAKKAD,Mining of minerals,EC Granted,proposal_status,2024-01-10T16:27:05.856,dos,2024-01-10T16:27:05.856,2025-03-13T14:47:50.328,,Eco-Sensitive Area,Western Ghat ESA,within
ec_proposals,IA/GJ/IND3/442934/2023,CAF/137907/2023,SW/141462/2023,GUJARAT,BHARUCH,Pesticides industry and pesticide specific intermediates (excluding formulations),EC Granted,proposal_status,2023-09-06T12:24:38.501,dos,2023-09-06T12:24:38.501,2023-10-17T22:00:43.459,,CPCB Critically Polluted Area,"Panoli,Ankaleshwar",within
ec_proposals,SIA/UK/INFRA2/493973/2024,CAF/188934/2024,SW/204173/2024,UTTARAKHAND,DEHRADUN,Building / Construction ,EC Granted,proposal_status,2024-08-24T18:03:54.879,dos,2024-08-24T18:03:54.879,2024-09-20T13:13:38.079,,Eco-Sensitive Area,Doon Valley,within
ec_proposals,IA/GJ/IND3/436941/2023,CAF/133357/2023,SW/136751/2023,GUJARAT,BHARUCH,Synthetic organic chemicals industry ,ToR Granted,proposal_status,2023-07-17T11:21:44.184,dos,2023-07-17T11:21:44.184,2023-08-25T19:56:56.265,,CPCB Critically Polluted Area,Nandesari,within
ec_proposals,SIA/KA/MIN/499506/2024,CAF/194760/2024,SW/210043/2024,KARNATAKA,CHAMARAJANAGARA,Mining of minerals,EC Granted,proposal_status,2024-10-03T19:07:16.628,dos,2024-10-03T19:07:16.628,2025-01-01T16:56:19.963,,Tiger Corridor,(unnamed),within
ec_proposals,SIA/UK/IND3/531939/2025,CAF/226362/2025,SW/241509/2025,UTTARAKHAND,DEHRADUN,Synthetic organic chemicals industry ,EC Granted,proposal_status,2025-04-03T11:41:50.213,dos,2025-04-03T11:41:50.213,2025-05-26T16:27:44.383,,Eco-Sensitive Area,Doon Valley,within
ec_proposals,SIA/OR/INFRA2/460335/2024,CAF/151644/2023,SW/155939/2023,ODISHA,JAGATSINGHAPUR,Building / Construction ,EC Granted,proposal_status,2024-01-31T18:11:10.791,dos,2024-01-31T18:11:10.791,2024-07-12T17:20:45.32,,CPCB Severely Polluted Area,Paradeep Industrial Area,within
ec_proposals,IA/MH/IND3/432693/2023,CAF/127442/2023,SW/129656/2023,MAHARASHTRA,PALGHAR,Synthetic organic chemicals industry ,EC Granted,proposal_status,2023-06-08T18:59:06.184,dos,2023-06-08T18:59:06.184,2024-02-06T23:23:45.634,,CPCB Critically Polluted Area,Tarapur MIDC,within
ec_proposals,SIA/MH/INFRA2/524926/2025,CAF/220578/2025,SW/235805/2025,MAHARASHTRA,MUMBAI SUBURBAN,Townships/ Area Development Projects / Rehabilitation Centres,Standard ToR Granted,proposal_status,2025-02-20T16:07:36.547,dos,2025-02-20T16:07:36.547,2025-02-21T10:56:32.416,,ESZ (gazette notified),Sanjay Gandhi National Park,partial
